RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
5960,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3096,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2991,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2927,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3163,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3016,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3056,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2885,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2902,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2820,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2986,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2548,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3001,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2708,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3122,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3872,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3124,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2794,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3223,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2602,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2646,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2975,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3035,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2756,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2907,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3623,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3015,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2779,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2648,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2825,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2766,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2994,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3748,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
6003,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
5580,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3826,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4018,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3831,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3564,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
5134,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4544,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3865,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3579,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2911,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3149,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3109,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3646,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2533,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4857,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3519,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2712,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3431,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3061,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4251,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
6732,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3750,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3978,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3147,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3208,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3003,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2695,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2784,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
5227,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2768,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2747,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2854,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3037,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2878,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3692,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2835,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3631,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3115,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2838,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2898,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2909,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2910,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
