"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","condition","pair"
NA,"P_M_bill_clinton.jpg","E_F_keira_knightley.jpg",NA,NA,NA,NA,NA,0.5662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","E_F_keira_knightley.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","P_F_esther_mcvey.jpg",NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","P_F_esther_mcvey.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","E_F_Judi_Dench.jpg",NA,NA,NA,NA,NA,0.5178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","E_F_Judi_Dench.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","E_F_jennifer_aniston.jpg",NA,NA,NA,NA,NA,0.4575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","E_F_jennifer_aniston.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","P_F_angela_rayner.jpg",NA,NA,NA,NA,NA,0.5537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","P_F_angela_rayner.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","E_F_sandra_bullock.jpg",NA,NA,NA,NA,NA,0.5032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","E_F_sandra_bullock.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","P_F_PRITI_PATEL.jpg",NA,NA,NA,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","P_F_PRITI_PATEL.jpg P_M_bill_clinton.jpg"
NA,"P_M_bill_clinton.jpg","P_M_david_cameron.jpg",NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","P_M_bill_clinton.jpg P_M_david_cameron.jpg"
NA,"P_M_bill_clinton.jpg","P_M_george_Wbush.jpg",NA,NA,NA,NA,NA,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","P_M_bill_clinton.jpg P_M_george_Wbush.jpg"
NA,"P_M_bill_clinton.jpg","E_M_Martin_Freeman.jpg",NA,NA,NA,NA,NA,0.4297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CLIP_res","E_M_Martin_Freeman.jpg P_M_bill_clinton.jpg"
