RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
13036,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
8487,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
11754,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3876,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3261,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3165,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4102,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4030,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5373,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3740,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5907,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2908,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3331,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4481,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3177,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3348,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2980,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3100,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3426,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3649,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4165,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3797,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4607,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3878,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5271,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2901,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2713,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3340,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2501,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1904,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2747,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2585,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2653,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2949,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3082,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2414,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3016,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2555,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3954,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2273,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3486,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4913,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3417,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4335,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3421,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2277,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2799,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2084,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3581,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4971,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5372,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3541,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2416,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2904,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5067,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2707,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2953,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2964,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3641,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3034,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
4775,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2844,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1954,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2090,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2491,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2913,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
7807,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
