RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3721,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2524,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
10936,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3839,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4422,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
5367,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1810,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2918,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3370,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2079,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2258,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2563,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3797,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3062,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2037,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2536,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3134,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4575,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2272,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3962,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3541,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2457,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4003,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1916,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3975,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2589,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2104,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3024,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2682,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3709,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2499,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3083,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2238,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4911,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4070,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2277,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2414,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1815,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3945,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3030,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3443,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
9431,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2312,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1495,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1954,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2043,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2705,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3021,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3119,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2571,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2091,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3463,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2657,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
5670,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1951,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4022,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2431,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2479,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2053,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4026,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3111,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4512,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
