RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6270,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
11411,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2798,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2824,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5343,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5092,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2253,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4367,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5007,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7301,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3015,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
9698,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3950,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
9925,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4911,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6405,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
8233,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
8282,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6452,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3523,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3947,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3669,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
11698,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5442,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4620,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5895,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5814,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2607,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
8019,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6254,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2555,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4316,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4603,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2714,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7324,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2957,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3242,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3943,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4740,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
10936,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
11943,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
10171,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4679,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
25407,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
13902,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7294,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
9671,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
10591,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4221,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5031,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7881,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
6842,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
8256,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
20535,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4939,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4373,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5834,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4199,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2865,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3767,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5550,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4281,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
